enhedsnummer,cvrnummer,vaerdinavn,vaerdi,vaerditype,sekvensnr,gyldigfra,gyldigtil,sidstopdateret
4001591360,29824088,BØRSNOTERET,true,boolean,0,2013-02-01,2200-01-01,
2814806,13228345,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2856773,12546106,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000944254,17881248,BØRSNOTERET,false,boolean,0,2016-10-11,2200-01-01,
4000944254,17881248,BØRSNOTERET,true,boolean,0,2005-01-01,2016-10-10,
4001749822,32266355,BØRSNOTERET,true,boolean,0,2017-11-16,2200-01-01,
2062020,17616617,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
342200,58233528,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
5411942,49619812,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4007125872,38998870,BØRSNOTERET,true,boolean,0,2019-01-21,2200-01-01,
4007125872,38998870,BØRSNOTERET,true,boolean,0,2017-10-11,2018-11-11,
4007125872,38998870,BØRSNOTERET,false,boolean,0,2018-11-12,2019-01-20,
2710250,56759913,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001020626,20045078,BØRSNOTERET,true,boolean,0,2013-01-01,2200-01-01,
4001061439,21023884,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000804611,10239680,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3089460,61126228,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000921871,16271187,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3956770,13255342,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000409074,25802888,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001639687,30691644,BØRSNOTERET,true,boolean,0,2013-01-01,2200-01-01,
4000581982,28299494,BØRSNOTERET,true,boolean,0,2006-12-01,2200-01-01,
4001171878,64855417,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001169319,62670215,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000713551,10404916,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000331344,14773908,BØRSNOTERET,false,boolean,0,2018-06-04,2200-01-01,
4000331344,14773908,BØRSNOTERET,true,boolean,0,2005-01-01,2018-06-03,
5266392,26460212,BØRSNOTERET,true,boolean,0,2005-10-14,2200-01-01,
4000333436,37536814,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2834786,15107707,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4217064,16339016,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1611916,13538530,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001124921,40713816,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001721814,30532228,BØRSNOTERET,true,boolean,0,2014-07-11,2016-05-03,
4001721814,30532228,BØRSNOTERET,false,boolean,0,2016-05-04,2200-01-01,
4000665402,17002147,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
312108,24256790,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
566255,26041716,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000533867,25536606,BØRSNOTERET,true,boolean,0,2007-09-20,2200-01-01,
3204757,39703416,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4049908,34631328,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001124762,37752517,BØRSNOTERET,false,boolean,0,2017-04-19,2200-01-01,
4001124762,37752517,BØRSNOTERET,true,boolean,0,2005-01-01,2017-04-18,
967837,32774210,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4006383707,37291269,BØRSNOTERET,true,boolean,0,2017-11-24,2200-01-01,
4001408186,10109124,BØRSNOTERET,true,boolean,0,2013-12-06,2200-01-01,
4004345150,80050410,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001369261,26527767,BØRSNOTERET,true,boolean,0,2006-11-15,2200-01-01,
4000343329,41956712,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
5229479,46874412,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4499340,16229415,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000334045,66590119,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3841880,27528406,BØRSNOTERET,true,boolean,0,2013-06-28,2200-01-01,
4000935344,16888419,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
581217,17500317,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001833878,33593163,BØRSNOTERET,true,boolean,0,2015-11-23,2200-01-01,
